"cty","Name","Teenage_Birth_Rate_women_only_rP_gF_pall"
"cty40111","Okmulgee County, OK",0.3059
"cty48409","San Patricio County, TX",0.3058
"cty13237","Putnam County, GA",0.3051
"cty48165","Gaines County, TX",0.3049
"cty13003","Atkinson County, GA",0.3049
"cty40057","Harmon County, OK",0.3048
"cty22073","Ouachita Parish, LA",0.3047
"cty01023","Choctaw County, AL",0.3046
"cty45047","Greenwood County, SC",0.3045
"cty12123","Taylor County, FL",0.3041
"cty48003","Andrews County, TX",0.304
"cty48317","Martin County, TX",0.3039
"cty04021","Pinal County, AZ",0.3038
"cty48119","Delta County, TX",0.3038
"cty48001","Anderson County, TX",0.3037
"cty48217","Hill County, TX",0.3036
"cty29143","New Madrid County, MO",0.3033
"cty29069","Dunklin County, MO",0.3033
"cty48219","Hockley County, TX",0.3031
"cty01035","Conecuh County, AL",0.3026
"cty48123","DeWitt County, TX",0.3026
"cty05113","Polk County, AR",0.3023
"cty21047","Christian County, KY",0.3022
"cty48107","Crosby County, TX",0.3022
"cty01129","Washington County, AL",0.302
"cty12027","DeSoto County, FL",0.3019
"cty45085","Sumter County, SC",0.3018
"cty13317","Wilkes County, GA",0.3012
"cty13079","Crawford County, GA",0.3011
"cty05019","Clark County, AR",0.3008
"cty05067","Jackson County, AR",0.3006
"cty48303","Lubbock County, TX",0.3005
"cty05091","Miller County, AR",0.3005
"cty05127","Scott County, AR",0.3005
"cty47175","Van Buren County, TN",0.3004
"cty21121","Knox County, KY",0.3004
"cty72059","Guayanilla Municipio, PR",0.3003
"cty05081","Little River County, AR",0.3002
"cty48321","Matagorda County, TX",0.2997
"cty35009","Curry County, NM",0.2997
"cty40063","Hughes County, OK",0.2994
"cty48415","Scurry County, TX",0.2991
"cty48169","Garza County, TX",0.299
"cty45057","Lancaster County, SC",0.2987
"cty28075","Lauderdale County, MS",0.2986
"cty40135","Sequoyah County, OK",0.2985
"cty28037","Franklin County, MS",0.2985
"cty20175","Seward County, KS",0.2984
"cty05149","Yell County, AR",0.2983
"cty48343","Morris County, TX",0.2982
"cty48407","San Jacinto County, TX",0.2982
"cty48465","Val Verde County, TX",0.2981
"cty28101","Newton County, MS",0.2977
"cty28041","Greene County, MS",0.2976
"cty12077","Liberty County, FL",0.297
"cty48413","Schleicher County, TX",0.2969
"cty13025","Brantley County, GA",0.2967
"cty40029","Coal County, OK",0.2965
"cty72125","San German Municipio, PR",0.2964
"cty12119","Sumter County, FL",0.2963
"cty28161","Yalobusha County, MS",0.2962
"cty72129","San Lorenzo Municipio, PR",0.296
"cty13063","Clayton County, GA",0.2959
"cty72121","Sabana Grande Municipio, PR",0.2957
"cty13179","Liberty County, GA",0.2956
"cty37017","Bladen County, NC",0.2955
"cty37047","Columbus County, NC",0.2954
"cty48421","Sherman County, TX",0.2953
"cty13221","Oglethorpe County, GA",0.2953
"cty48213","Henderson County, TX",0.295
"cty35005","Chaves County, NM",0.2943
"cty48267","Kimble County, TX",0.2943
"cty48475","Ward County, TX",0.2943
"cty37195","Wilson County, NC",0.2942
"cty45025","Chesterfield County, SC",0.2942
"cty22059","LaSalle Parish, LA",0.2942
"cty13185","Lowndes County, GA",0.2941
"cty40079","Le Flore County, OK",0.2939
"cty13051","Chatham County, GA",0.2938
"cty48005","Angelina County, TX",0.2938
"cty28109","Pearl River County, MS",0.2937
"cty28131","Stone County, MS",0.2934
"cty37143","Perquimans County, NC",0.2932
"cty13049","Charlton County, GA",0.2931
"cty51081","Greensville County, VA",0.293
"cty48305","Lynn County, TX",0.293
"cty48309","McLennan County, TX",0.2929
"cty47153","Sequatchie County, TN",0.2929
"cty08105","Rio Grande County, CO",0.2928
"cty51025","Brunswick County, VA",0.2927
"cty05139","Union County, AR",0.2925
"cty13175","Laurens County, GA",0.2925
"cty72081","Lares Municipio, PR",0.2924
"cty08055","Huerfano County, CO",0.2921
"cty04001","Apache County, AZ",0.2919
"cty28039","George County, MS",0.2915
"cty48083","Coleman County, TX",0.2913
"cty13259","Stewart County, GA",0.2913
"cty48369","Parmer County, TX",0.2909
"cty35015","Eddy County, NM",0.2909
"cty22007","Assumption Parish, LA",0.2908
"cty32027","Pershing County, NV",0.2907
"cty48011","Armstrong County, TX",0.2907
"cty08099","Prowers County, CO",0.2905
"cty12023","Columbia County, FL",0.2904
"cty20055","Finney County, KS",0.2903
"cty37045","Cleveland County, NC",0.2902
"cty47045","Dyer County, TN",0.2899
"cty48007","Aransas County, TX",0.2898
"cty01007","Bibb County, AL",0.2896
"cty22109","Terrebonne Parish, LA",0.2895
"cty13267","Tattnall County, GA",0.2895
"cty45001","Abbeville County, SC",0.2893
"cty13313","Whitfield County, GA",0.2893
"cty40011","Blaine County, OK",0.2889
"cty02185","North Slope Borough, AK",0.2885
"cty05013","Calhoun County, AR",0.2885
"cty13109","Evans County, GA",0.2885
"cty72027","Camuy Municipio, PR",0.2885
"cty28095","Monroe County, MS",0.2884
"cty13127","Glynn County, GA",0.2884
"cty13229","Pierce County, GA",0.2881
"cty28085","Lincoln County, MS",0.2878
"cty21001","Adair County, KY",0.2877
"cty48373","Polk County, TX",0.2875
"cty21077","Gallatin County, KY",0.2874
"cty47003","Bedford County, TN",0.2873
"cty21147","McCreary County, KY",0.2871
"cty48073","Cherokee County, TX",0.2871
"cty29119","McDonald County, MO",0.287
"cty13015","Bartow County, GA",0.2868
"cty72069","Humacao Municipio, PR",0.2868
"cty48203","Harrison County, TX",0.2863
"cty13019","Berrien County, GA",0.2863
"cty39163","Vinton County, OH",0.2863
"cty72075","Juana Diaz Municipio, PR",0.2862
"cty48383","Reagan County, TX",0.286
"cty37033","Caswell County, NC",0.2858
"cty13131","Grady County, GA",0.2858
"cty48037","Bowie County, TX",0.2857
"cty01021","Chilton County, AL",0.2856
"cty20067","Grant County, KS",0.2853
"cty13045","Carroll County, GA",0.2853
"cty40091","McIntosh County, OK",0.2852
"cty51690","Martinsville city, VA",0.2851
"cty04009","Graham County, AZ",0.285
"cty13295","Walker County, GA",0.2849
"cty21169","Metcalfe County, KY",0.2849
"cty48461","Upton County, TX",0.2847
"cty13235","Pulaski County, GA",0.2847
"cty47121","Meigs County, TN",0.2844
"cty18079","Jennings County, IN",0.2839
"cty05047","Franklin County, AR",0.2839
"cty12105","Polk County, FL",0.2834
"cty13315","Wilcox County, GA",0.2831
"cty01057","Fayette County, AL",0.2831
"cty13217","Newton County, GA",0.283
"cty47033","Crockett County, TN",0.2829
"cty40041","Delaware County, OK",0.2828
"cty48315","Marion County, TX",0.2828
"cty35023","Hidalgo County, NM",0.2827
"cty08011","Bent County, CO",0.2827
"cty72153","Yauco Municipio, PR",0.2825
"cty22121","West Baton Rouge Parish, LA",0.2825
"cty13143","Haralson County, GA",0.2823
"cty29009","Barry County, MO",0.2822
"cty28155","Webster County, MS",0.2818
"cty35047","San Miguel County, NM",0.2817
"cty45037","Edgefield County, SC",0.2813
"cty48151","Fisher County, TX",0.2813
"cty45071","Newberry County, SC",0.2813
"cty48273","Kleberg County, TX",0.2813
"cty40127","Pushmataha County, OK",0.2812
"cty22095","St. John the Baptist Parish, LA",0.2811
"cty01039","Covington County, AL",0.281
"cty48159","Franklin County, TX",0.2808
"cty48459","Upshur County, TX",0.2808
"cty28047","Harrison County, MS",0.2805
"cty48245","Jefferson County, TX",0.2804
"cty48355","Nueces County, TX",0.2804
"cty48401","Rusk County, TX",0.2802
"cty37137","Pamlico County, NC",0.28
"cty01067","Henry County, AL",0.2798
"cty42101","Philadelphia County, PA",0.2797
"cty47057","Grainger County, TN",0.2795
"cty48419","Shelby County, TX",0.2794
"cty01019","Cherokee County, AL",0.2792
"cty46017","Buffalo County, SD",0.2791
"cty20189","Stevens County, KS",0.279
"cty22019","Calcasieu Parish, LA",0.2789
"cty13181","Lincoln County, GA",0.2789
"cty37123","Montgomery County, NC",0.2788
"cty22105","Tangipahoa Parish, LA",0.2787
"cty29185","St. Clair County, MO",0.2786
"cty28115","Pontotoc County, MS",0.2783
"cty18097","Marion County, IN",0.2782
"cty05083","Logan County, AR",0.278
"cty22123","West Carroll Parish, LA",0.278
"cty13129","Gordon County, GA",0.278
"cty47173","Union County, TN",0.2779
"cty47123","Monroe County, TN",0.2777
"cty18053","Grant County, IN",0.2777
"cty51770","Roanoke city, VA",0.2773
"cty18143","Scott County, IN",0.2772
"cty01015","Calhoun County, AL",0.277
"cty29223","Wayne County, MO",0.277
"cty29181","Ripley County, MO",0.2769
"cty40113","Osage County, OK",0.2768
"cty36005","Bronx County, NY",0.2765
"cty22053","Jefferson Davis Parish, LA",0.2765
"cty40015","Caddo County, OK",0.2763
"cty37085","Harnett County, NC",0.2763
"cty45043","Georgetown County, SC",0.2763
"cty22011","Beauregard Parish, LA",0.2763
"cty40121","Pittsburg County, OK",0.2762
"cty45081","Saluda County, SC",0.2761
"cty02290","Yukon-Koyukuk Census Area, AK",0.276
"cty48291","Liberty County, TX",0.276
"cty48225","Houston County, TX",0.276
"cty47113","Madison County, TN",0.2759
"cty48323","Maverick County, TX",0.2759
"cty05021","Clay County, AR",0.2759
"cty22001","Acadia Parish, LA",0.2755
"cty48049","Brown County, TX",0.2754
