"cty","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cty38059","Morton County, ND",62520
"cty08045","Garfield County, CO",62501
"cty13103","Effingham County, GA",62472
"cty33017","Strafford County, NH",62424
"cty13151","Henry County, GA",62372
"cty34033","Salem County, NJ",62339
"cty21211","Shelby County, KY",62313
"cty36093","Schenectady County, NY",62274
"cty56021","Laramie County, WY",62263
"cty06037","Los Angeles County, CA",62253
"cty48201","Harris County, TX",62171
"cty09015","Windham County, CT",62088
"cty12117","Seminole County, FL",62054
"cty08091","Ouray County, CO",62018
"cty28033","DeSoto County, MS",62010
"cty20149","Pottawatomie County, KS",62006
"cty51115","Mathews County, VA",61974
"cty31055","Douglas County, NE",61910
"cty18029","Dearborn County, IN",61899
"cty19011","Benton County, IA",61838
"cty40073","Kingfisher County, OK",61718
"cty38023","Divide County, ND",61692
"cty40131","Rogers County, OK",61611
"cty28121","Rankin County, MS",61605
"cty06003","Alpine County, CA",61598
"cty06065","Riverside County, CA",61594
"cty27059","Isanti County, MN",61553
"cty42103","Pike County, PA",61542
"cty19121","Madison County, IA",61411
"cty46045","Edmunds County, SD",61408
"cty48173","Glasscock County, TX",61385
"cty33009","Grafton County, NH",61284
"cty42001","Adams County, PA",61271
"cty12021","Collier County, FL",61194
"cty33001","Belknap County, NH",61175
"cty37053","Currituck County, NC",61158
"cty08093","Park County, CO",61134
"cty06067","Sacramento County, CA",61133
"cty12019","Clay County, FL",61127
"cty20015","Butler County, KS",61123
"cty55087","Outagamie County, WI",61116
"cty20171","Scott County, KS",61115
"cty16001","Ada County, ID",61114
"cty49057","Weber County, UT",61112
"cty36111","Ulster County, NY",61093
"cty18129","Posey County, IN",61065
"cty47165","Sumner County, TN",61036
"cty27157","Wabasha County, MN",60981
"cty26139","Ottawa County, MI",60950
"cty04013","Maricopa County, AZ",60905
"cty17179","Tazewell County, IL",60903
"cty12099","Palm Beach County, FL",60888
"cty17155","Putnam County, IL",60788
"cty08067","La Plata County, CO",60761
"cty36021","Columbia County, NY",60732
"cty02188","Northwest Arctic Borough, AK",60705
