"cty","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cty56027","Niobrara County, WY",40134
"cty29139","Montgomery County, MO",40131
"cty51620","Franklin city, VA",40128
"cty23025","Somerset County, ME",40128
"cty48273","Kleberg County, TX",40120
"cty56031","Platte County, WY",40085
"cty28115","Pontotoc County, MS",40084
"cty48017","Bailey County, TX",40083
"cty16071","Oneida County, ID",40059
"cty41021","Gilliam County, OR",40051
"cty48319","Mason County, TX",40027
"cty54085","Ritchie County, WV",40005
"cty06093","Siskiyou County, CA",39998
"cty51045","Craig County, VA",39995
"cty21009","Barren County, KY",39970
"cty21141","Logan County, KY",39960
"cty16047","Gooding County, ID",39949
"cty31065","Furnas County, NE",39941
"cty46123","Tripp County, SD",39934
"cty29105","Laclede County, MO",39931
"cty29079","Grundy County, MO",39925
"cty39079","Jackson County, OH",39922
"cty05091","Miller County, AR",39920
"cty17149","Pike County, IL",39895
"cty04007","Gila County, AZ",39887
"cty48045","Briscoe County, TX",39882
"cty04015","Mohave County, AZ",39877
"cty31005","Arthur County, NE",39872
"cty05087","Madison County, AR",39849
"cty40013","Bryan County, OK",39847
"cty48347","Nacogdoches County, TX",39843
"cty31105","Kimball County, NE",39841
"cty42023","Cameron County, PA",39836
"cty47131","Obion County, TN",39830
"cty08073","Lincoln County, CO",39799
"cty16035","Clearwater County, ID",39773
"cty46053","Gregory County, SD",39771
"cty45059","Laurens County, SC",39757
"cty48087","Collingsworth County, TX",39755
"cty13245","Richmond County, GA",39741
"cty48067","Cass County, TX",39732
"cty17055","Franklin County, IL",39729
"cty47099","Lawrence County, TN",39718
"cty48129","Donley County, TX",39715
"cty26165","Wexford County, MI",39709
"cty48267","Kimble County, TX",39693
"cty51770","Roanoke city, VA",39688
"cty48305","Lynn County, TX",39687
"cty30001","Beaverhead County, MT",39685
"cty28041","Greene County, MS",39653
"cty17029","Coles County, IL",39647
"cty05139","Union County, AR",39641
"cty48279","Lamb County, TX",39640
"cty31133","Pawnee County, NE",39639
"cty29109","Lawrence County, MO",39633
"cty38005","Benson County, ND",39613
"cty48093","Comanche County, TX",39612
"cty53075","Whitman County, WA",39608
"cty54067","Nicholas County, WV",39608
"cty13111","Fannin County, GA",39601
"cty26007","Alpena County, MI",39601
"cty51167","Russell County, VA",39595
"cty48283","La Salle County, TX",39594
"cty48353","Nolan County, TX",39583
"cty13225","Peach County, GA",39572
"cty40015","Caddo County, OK",39570
"cty13283","Treutlen County, GA",39541
"cty35027","Lincoln County, NM",39528
"cty54097","Upshur County, WV",39528
"cty41015","Curry County, OR",39519
"cty01043","Cullman County, AL",39508
"cty48073","Cherokee County, TX",39503
"cty01095","Marshall County, AL",39499
"cty06033","Lake County, CA",39498
"cty12037","Franklin County, FL",39458
"cty13277","Tift County, GA",39444
"cty13249","Schley County, GA",39442
"cty29217","Vernon County, MO",39423
"cty37023","Burke County, NC",39422
"cty54083","Randolph County, WV",39394
"cty51117","Mecklenburg County, VA",39393
"cty05047","Franklin County, AR",39387
"cty48331","Milam County, TX",39387
"cty13305","Wayne County, GA",39385
"cty29063","DeKalb County, MO",39357
"cty01007","Bibb County, AL",39350
"cty05149","Yell County, AR",39302
"cty53049","Pacific County, WA",39294
"cty28093","Marshall County, MS",39290
"cty19007","Appanoose County, IA",39272
"cty21105","Hickman County, KY",39261
"cty54011","Cabell County, WV",39241
"cty35017","Grant County, NM",39238
"cty13281","Towns County, GA",39221
"cty38085","Sioux County, ND",39208
"cty54013","Calhoun County, WV",39206
"cty29103","Knox County, MO",39200
"cty22111","Union Parish, LA",39199
"cty37045","Cleveland County, NC",39189
"cty30047","Lake County, MT",39183
"cty01123","Tallapoosa County, AL",39161
"cty16023","Butte County, ID",39159
"cty55003","Ashland County, WI",39146
"cty37113","Macon County, NC",39136
"cty37099","Jackson County, NC",39133
"cty23029","Washington County, ME",39133
"cty26051","Gladwin County, MI",39097
"cty12045","Gulf County, FL",39095
"cty13001","Appling County, GA",39094
"cty41011","Coos County, OR",39077
"cty39053","Gallia County, OH",39076
"cty47063","Hamblen County, TN",39073
"cty13171","Lamar County, GA",39067
"cty37121","Mitchell County, NC",39062
"cty46055","Haakon County, SD",39061
"cty01113","Russell County, AL",39055
"cty54023","Grant County, WV",39049
"cty48463","Uvalde County, TX",39044
"cty21161","Mason County, KY",39042
"cty50009","Essex County, VT",39039
"cty26061","Houghton County, MI",39038
"cty41013","Crook County, OR",39037
"cty41023","Grant County, OR",39033
"cty13079","Crawford County, GA",39028
"cty46041","Dewey County, SD",39024
"cty28015","Carroll County, MS",39018
"cty26001","Alcona County, MI",39018
"cty12065","Jefferson County, FL",39012
"cty16037","Custer County, ID",39005
"cty22049","Jackson Parish, LA",38995
"cty54017","Doddridge County, WV",38993
"cty35013","Doña Ana County, NM",38980
"cty72061","Guaynabo Municipio, PR",38974
"cty47143","Rhea County, TN",38968
"cty13233","Polk County, GA",38967
"cty12017","Citrus County, FL",38966
"cty48137","Edwards County, TX",38965
"cty48447","Throckmorton County, TX",38947
"cty12121","Suwannee County, FL",38924
"cty26011","Arenac County, MI",38921
"cty01129","Washington County, AL",38904
"cty13023","Bleckley County, GA",38868
"cty29119","McDonald County, MO",38866
"cty12047","Hamilton County, FL",38865
"cty29115","Linn County, MO",38845
"cty39105","Meigs County, OH",38835
"cty29001","Adair County, MO",38830
"cty40035","Craig County, OK",38825
"cty05027","Columbia County, AR",38821
"cty21055","Crittenden County, KY",38788
"cty46075","Jones County, SD",38787
"cty29207","Stoddard County, MO",38730
"cty45047","Greenwood County, SC",38726
"cty16021","Boundary County, ID",38726
"cty47079","Henry County, TN",38725
"cty29011","Barton County, MO",38717
"cty54045","Logan County, WV",38711
"cty41033","Josephine County, OR",38689
"cty05063","Independence County, AR",38680
"cty21183","Ohio County, KY",38642
"cty29017","Bollinger County, MO",38621
"cty47035","Cumberland County, TN",38620
"cty21097","Harrison County, KY",38608
"cty05001","Arkansas County, AR",38606
"cty16049","Idaho County, ID",38599
"cty47129","Morgan County, TN",38599
"cty26133","Osceola County, MI",38581
"cty26069","Iosco County, MI",38570
"cty51173","Smyth County, VA",38561
"cty30059","Meagher County, MT",38546
"cty47137","Pickett County, TN",38528
"cty48107","Crosby County, TX",38524
"cty40021","Cherokee County, OK",38500
"cty54105","Wirt County, WV",38468
"cty54053","Mason County, WV",38464
"cty13319","Wilkinson County, GA",38454
"cty54103","Wetzel County, WV",38443
"cty40029","Coal County, OK",38434
"cty13235","Pulaski County, GA",38423
"cty21173","Montgomery County, KY",38419
"cty28035","Forrest County, MS",38416
"cty17151","Pope County, IL",38410
"cty37197","Yadkin County, NC",38390
"cty55078","Menominee County, WI",38356
"cty39145","Scioto County, OH",38337
"cty41025","Harney County, OR",38330
"cty01019","Cherokee County, AL",38310
"cty05009","Boone County, AR",38302
"cty48063","Camp County, TX",38302
"cty48307","McCulloch County, TX",38283
"cty47007","Bledsoe County, TN",38277
"cty04023","Santa Cruz County, AZ",38243
"cty30071","Phillips County, MT",38210
"cty17069","Hardin County, IL",38195
"cty30023","Deer Lodge County, MT",38184
"cty51185","Tazewell County, VA",38176
"cty12133","Washington County, FL",38163
"cty21181","Nicholas County, KY",38152
"cty28085","Lincoln County, MS",38150
"cty48079","Cochran County, TX",38144
"cty31091","Hooker County, NE",38135
"cty40141","Tillman County, OK",38129
"cty08027","Custer County, CO",38124
"cty40077","Latimer County, OK",38119
"cty18009","Blackford County, IN",38100
"cty02290","Yukon-Koyukuk Census Area, AK",38089
"cty20089","Jewell County, KS",38078
"cty16065","Madison County, ID",38068
"cty46037","Day County, SD",38068
"cty39115","Morgan County, OH",38059
"cty13321","Worth County, GA",38053
"cty20037","Crawford County, KS",38052
"cty01027","Clay County, AL",38052
"cty47107","McMinn County, TN",38051
"cty29009","Barry County, MO",38046
"cty54005","Boone County, WV",38031
"cty28037","Franklin County, MS",38002
"cty30015","Chouteau County, MT",38000
"cty23003","Aroostook County, ME",37998
"cty05069","Jefferson County, AR",37987
"cty54055","Mercer County, WV",37977
"cty01039","Covington County, AL",37959
"cty19053","Decatur County, IA",37950
"cty40075","Kiowa County, OK",37932
"cty54099","Wayne County, WV",37921
"cty01071","Jackson County, AL",37919
"cty08061","Kiowa County, CO",37907
"cty51111","Lunenburg County, VA",37906
"cty37043","Clay County, NC",37903
"cty51001","Accomack County, VA",37895
"cty29213","Taney County, MO",37893
"cty13005","Bacon County, GA",37881
"cty48343","Morris County, TX",37880
"cty48043","Brewster County, TX",37864
"cty54041","Lewis County, WV",37824
"cty13241","Rabun County, GA",37814
"cty13307","Webster County, GA",37783
"cty28145","Union County, MS",37774
"cty30069","Petroleum County, MT",37773
"cty28107","Panola County, MS",37765
"cty37171","Surry County, NC",37733
"cty05133","Sevier County, AR",37729
"cty13209","Montgomery County, GA",37727
"cty21035","Calloway County, KY",37720
"cty22061","Lincoln Parish, LA",37699
"cty21233","Webster County, KY",37699
"cty05015","Carroll County, AR",37697
"cty01049","DeKalb County, AL",37690
"cty01121","Talladega County, AL",37687
"cty47081","Hickman County, TN",37679
"cty13275","Thomas County, GA",37668
"cty35003","Catron County, NM",37667
"cty47141","Putnam County, TN",37638
"cty47173","Union County, TN",37587
"cty37033","Caswell County, NC",37583
"cty40079","Le Flore County, OK",37581
"cty40041","Delaware County, OK",37578
"cty48163","Frio County, TX",37575
"cty21205","Rowan County, KY",37573
"cty47041","DeKalb County, TN",37565
"cty51169","Scott County, VA",37557
"cty16061","Lewis County, ID",37550
"cty47101","Lewis County, TN",37516
"cty29065","Dent County, MO",37515
"cty28077","Lawrence County, MS",37502
"cty40091","McIntosh County, OK",37481
"cty48293","Limestone County, TX",37478
"cty37027","Caldwell County, NC",37476
"cty37107","Lenoir County, NC",37474
"cty51135","Nottoway County, VA",37468
"cty48351","Newton County, TX",37462
"cty20019","Chautauqua County, KS",37454
"cty37111","McDowell County, NC",37449
"cty29171","Putnam County, MO",37448
"cty48327","Menard County, TX",37445
"cty28067","Jones County, MS",37442
"cty37079","Greene County, NC",37442
"cty13147","Hart County, GA",37424
"cty29057","Dade County, MO",37411
"cty12039","Gadsden County, FL",37411
"cty28095","Monroe County, MS",37384
"cty05117","Prairie County, AR",37375
"cty36005","Bronx County, NY",37327
"cty51083","Halifax County, VA",37323
"cty13201","Miller County, GA",37318
"cty29197","Schuyler County, MO",37306
"cty40069","Johnston County, OK",37297
"cty12059","Holmes County, FL",37296
"cty05005","Baxter County, AR",37287
"cty37095","Hyde County, NC",37271
"cty51025","Brunswick County, VA",37264
"cty37009","Ashe County, NC",37259
"cty54095","Tyler County, WV",37241
"cty12123","Taylor County, FL",37240
"cty08009","Baca County, CO",37240
"cty45053","Jasper County, SC",37239
"cty12125","Union County, FL",37232
"cty40115","Ottawa County, OK",37218
"cty12013","Calhoun County, FL",37204
"cty47039","Decatur County, TN",37199
"cty21031","Butler County, KY",37198
"cty54019","Fayette County, WV",37197
"cty37005","Alleghany County, NC",37189
"cty53019","Ferry County, WA",37183
"cty54071","Pendleton County, WV",37169
"cty30061","Mineral County, MT",37168
"cty26129","Ogemaw County, MI",37162
"cty47033","Crockett County, TN",37143
"cty01057","Fayette County, AL",37141
"cty13303","Washington County, GA",37136
"cty28003","Alcorn County, MS",37124
"cty46027","Clay County, SD",37118
"cty48419","Shelby County, TX",37101
"cty40055","Greer County, OK",37100
"cty29059","Dallas County, MO",37093
"cty16087","Washington County, ID",37089
"cty54007","Braxton County, WV",37087
"cty12051","Hendry County, FL",37087
"cty01111","Randolph County, AL",37067
"cty28127","Simpson County, MS",37051
"cty51049","Cumberland County, VA",37042
"cty08003","Alamosa County, CO",37040
"cty05127","Scott County, AR",37035
"cty12093","Okeechobee County, FL",37021
"cty22059","LaSalle Parish, LA",37011
"cty51035","Carroll County, VA",37007
"cty01127","Walker County, AL",36966
"cty47073","Hawkins County, TN",36958
"cty29123","Madison County, MO",36952
"cty32021","Mineral County, NV",36946
"cty01041","Crenshaw County, AL",36940
"cty37047","Columbus County, NC",36927
"cty20049","Elk County, KS",36927
"cty21043","Carter County, KY",36919
"cty37163","Sampson County, NC",36903
"cty31017","Brown County, NE",36863
"cty48323","Maverick County, TX",36856
"cty13213","Murray County, GA",36851
"cty35006","Cibola County, NM",36846
"cty29121","Macon County, MO",36842
"cty29023","Butler County, MO",36833
"cty48247","Jim Hogg County, TX",36816
"cty40133","Seminole County, OK",36805
"cty05013","Calhoun County, AR",36799
"cty26153","Schoolcraft County, MI",36789
"cty13091","Dodge County, GA",36772
"cty48411","San Saba County, TX",36767
"cty48215","Hidalgo County, TX",36759
"cty54021","Gilmer County, WV",36721
"cty28155","Webster County, MS",36719
"cty05029","Conway County, AR",36712
"cty47059","Greene County, TN",36711
"cty40005","Atoka County, OK",36709
"cty47183","Weakley County, TN",36707
"cty47123","Monroe County, TN",36700
"cty22025","Catahoula Parish, LA",36695
"cty51131","Northampton County, VA",36694
"cty01061","Geneva County, AL",36693
"cty41045","Malheur County, OR",36683
"cty40107","Okfuskee County, OK",36662
"cty29093","Iron County, MO",36658
"cty47057","Grainger County, TN",36656
"cty49031","Piute County, UT",36650
"cty23021","Piscataquis County, ME",36638
"cty47071","Hardin County, TN",36630
"cty13267","Tattnall County, GA",36622
"cty48385","Real County, TX",36597
"cty42053","Forest County, PA",36583
"cty29510","St. Louis city, MO",36561
"cty38033","Golden Valley County, ND",36553
"cty13263","Talbot County, GA",36537
"cty24039","Somerset County, MD",36501
"cty13251","Screven County, GA",36486
"cty22081","Red River Parish, LA",36470
"cty30053","Lincoln County, MT",36442
"cty26119","Montmorency County, MI",36429
"cty54057","Mineral County, WV",36417
"cty51195","Wise County, VA",36394
"cty21125","Laurel County, KY",36378
"cty29055","Crawford County, MO",36375
"cty05121","Randolph County, AR",36355
"cty12049","Hardee County, FL",36348
"cty04012","La Paz County, AZ",36325
"cty45031","Darlington County, SC",36318
"cty38079","Rolette County, ND",36309
"cty13031","Bulloch County, GA",36306
"cty47185","White County, TN",36303
"cty05003","Ashley County, AR",36299
"cty37189","Watauga County, NC",36299
"cty16079","Shoshone County, ID",36290
"cty28101","Newton County, MS",36255
"cty48505","Zapata County, TX",36253
"cty05083","Logan County, AR",36213
"cty37199","Yancey County, NC",36166
"cty05061","Howard County, AR",36162
"cty13293","Upson County, GA",36150
"cty28139","Tippah County, MS",36132
"cty26035","Clare County, MI",36128
"cty37011","Avery County, NC",36122
"cty29179","Reynolds County, MO",36110
"cty46137","Ziebach County, SD",36097
"cty13161","Jeff Davis County, GA",36080
"cty08021","Conejos County, CO",36072
"cty13257","Stephens County, GA",36061
"cty29035","Carter County, MO",36027
"cty40061","Haskell County, OK",36017
"cty28023","Clarke County, MS",36016
"cty12063","Jackson County, FL",36010
"cty26095","Luce County, MI",36004
"cty13101","Echols County, GA",36004
"cty05039","Dallas County, AR",36002
"cty47177","Warren County, TN",35987
"cty35059","Union County, NM",35966
"cty22083","Richland Parish, LA",35958
"cty05065","Izard County, AR",35940
"cty13119","Franklin County, GA",35915
"cty21069","Fleming County, KY",35909
"cty51520","Bristol city, VA",35880
"cty37007","Anson County, NC",35834
"cty05019","Clark County, AR",35826
"cty17077","Jackson County, IL",35813
"cty13025","Brantley County, GA",35812
"cty26053","Gogebic County, MI",35804
"cty22091","St. Helena Parish, LA",35773
"cty26143","Roscommon County, MI",35767
"cty28099","Neshoba County, MS",35762
"cty04017","Navajo County, AZ",35745
"cty39001","Adams County, OH",35714
"cty28141","Tishomingo County, MS",35707
"cty12077","Liberty County, FL",35694
"cty40135","Sequoyah County, OK",35666
"cty13189","McDuffie County, GA",35656
"cty37161","Rutherford County, NC",35653
"cty37117","Martin County, NC",35651
"cty47017","Carroll County, TN",35630
"cty30107","Wheatland County, MT",35627
"cty30085","Roosevelt County, MT",35597
"cty21099","Hart County, KY",35551
"cty54089","Summers County, WV",35550
"cty48437","Swisher County, TX",35523
"cty05129","Searcy County, AR",35517
"cty37075","Graham County, NC",35516
"cty45021","Cherokee County, SC",35507
"cty28105","Oktibbeha County, MS",35506
"cty01059","Franklin County, AL",35501
"cty29215","Texas County, MO",35474
"cty51141","Patrick County, VA",35470
"cty47075","Haywood County, TN",35467
"cty54043","Lincoln County, WV",35442
"cty22123","West Carroll Parish, LA",35438
"cty48315","Marion County, TX",35433
"cty21023","Bracken County, KY",35412
"cty35055","Taos County, NM",35408
"cty13253","Seminole County, GA",35357
"cty22013","Bienville Parish, LA",35352
"cty29221","Washington County, MO",35350
"cty48455","Trinity County, TX",35345
"cty54109","Wyoming County, WV",35330
"cty54075","Pocahontas County, WV",35317
"cty12027","DeSoto County, FL",35310
"cty21087","Green County, KY",35292
"cty51580","Covington city, VA",35284
"cty21085","Grayson County, KY",35284
"cty06105","Trinity County, CA",35257
"cty45011","Barnwell County, SC",35255
"cty05049","Fulton County, AR",35247
"cty37193","Wilkes County, NC",35240
"cty40057","Harmon County, OK",35232
"cty30005","Blaine County, MT",35209
"cty21199","Pulaski County, KY",35197
"cty54063","Monroe County, WV",35170
"cty12075","Levy County, FL",35156
"cty08089","Otero County, CO",35145
"cty13299","Ware County, GA",35115
"cty12067","Lafayette County, FL",35099
"cty45023","Chester County, SC",35093
"cty13069","Coffee County, GA",35083
"cty13075","Cook County, GA",35080
"cty48225","Houston County, TX",35077
"cty13279","Toombs County, GA",35057
"cty45001","Abbeville County, SC",35039
"cty28057","Itawamba County, MS",35036
"cty37061","Duplin County, NC",35023
"cty13033","Burke County, GA",35021
"cty26135","Oscoda County, MI",35000
"cty48061","Cameron County, TX",34992
"cty48345","Motley County, TX",34992
"cty28161","Yalobusha County, MS",34990
"cty47133","Overton County, TN",34983
"cty01029","Cleburne County, AL",34983
"cty13095","Dougherty County, GA",34927
"cty45027","Clarendon County, SC",34876
"cty12055","Highlands County, FL",34861
"cty05093","Mississippi County, AR",34855
"cty37123","Montgomery County, NC",34848
"cty26131","Ontonagon County, MI",34848
"cty05111","Poinsett County, AR",34841
"cty47121","Meigs County, TN",34833
"cty37039","Cherokee County, NC",34806
"cty05081","Little River County, AR",34791
"cty20207","Woodson County, KS",34783
"cty45025","Chesterfield County, SC",34774
"cty13055","Chattooga County, GA",34745
"cty40067","Jefferson County, OK",34727
"cty05141","Van Buren County, AR",34727
"cty48197","Hardeman County, TX",34718
"cty35041","Roosevelt County, NM",34716
"cty47111","Macon County, TN",34699
"cty51089","Henry County, VA",34698
"cty12029","Dixie County, FL",34683
"cty28009","Benton County, MS",34675
"cty28153","Wayne County, MS",34653
"cty21011","Bath County, KY",34632
"cty05109","Pike County, AR",34620
"cty01017","Chambers County, AL",34618
"cty12043","Glades County, FL",34612
"cty13131","Grady County, GA",34607
"cty72063","Gurabo Municipio, PR",34576
"cty54001","Barbour County, WV",34575
"cty45075","Orangeburg County, SC",34566
"cty28111","Perry County, MS",34549
"cty29181","Ripley County, MO",34544
"cty29141","Morgan County, MO",34541
"cty13071","Colquitt County, GA",34527
"cty21165","Menifee County, KY",34524
"cty28061","Jasper County, MS",34507
"cty13199","Meriwether County, GA",34501
"cty28029","Copiah County, MS",34488
"cty35053","Socorro County, NM",34467
"cty21137","Lincoln County, KY",34459
"cty13093","Dooly County, GA",34451
"cty26071","Iron County, MI",34437
"cty05097","Montgomery County, AR",34427
"cty01093","Marion County, AL",34421
"cty16059","Lemhi County, ID",34394
"cty28007","Attala County, MS",34388
"cty54087","Roane County, WV",34349
"cty08011","Bent County, CO",34340
"cty45087","Union County, SC",34337
"cty13197","Marion County, GA",34316
"cty47181","Wayne County, TN",34307
"cty22009","Avoyelles Parish, LA",34281
"cty16073","Owyhee County, ID",34280
"cty13009","Baldwin County, GA",34256
"cty40063","Hughes County, OK",34232
"cty45029","Colleton County, SC",34228
"cty48387","Red River County, TX",34214
"cty28025","Clay County, MS",34211
"cty13181","Lincoln County, GA",34177
"cty28043","Grenada County, MS",34171
"cty13175","Laurens County, GA",34113
"cty30089","Sanders County, MT",34067
"cty45039","Fairfield County, SC",34046
"cty51678","Lexington city, VA",34035
"cty51590","Danville city, VA",34002
"cty51690","Martinsville city, VA",33996
"cty48271","Kinney County, TX",33969
"cty48023","Baylor County, TX",33954
"cty28117","Prentiss County, MS",33953
"cty29091","Howell County, MO",33931
"cty01065","Hale County, AL",33924
"cty35039","Rio Arriba County, NM",33922
"cty21203","Rockcastle County, KY",33921
"cty47069","Hardeman County, TN",33914
"cty13105","Elbert County, GA",33893
"cty05089","Marion County, AR",33881
"cty21115","Johnson County, KY",33877
"cty01075","Lamar County, AL",33849
"cty35023","Hidalgo County, NM",33809
"cty13019","Berrien County, GA",33772
"cty40089","McCurtain County, OK",33765
"cty21127","Lawrence County, KY",33765
"cty05071","Johnson County, AR",33762
"cty13287","Turner County, GA",33740
"cty51037","Charlotte County, VA",33736
"cty47013","Campbell County, TN",33732
"cty47171","Unicoi County, TN",33697
"cty47019","Carter County, TN",33697
"cty41037","Lake County, OR",33693
"cty29223","Wayne County, MO",33676
"cty08055","Huerfano County, CO",33674
"cty22097","St. Landry Parish, LA",33666
"cty01013","Butler County, AL",33603
"cty13027","Brooks County, GA",33599
"cty01053","Escambia County, AL",33596
"cty13261","Sumter County, GA",33591
"cty22039","Evangeline Parish, LA",33591
"cty51730","Petersburg city, VA",33561
"cty48109","Culberson County, TX",33558
"cty12107","Putnam County, FL",33549
"cty05043","Drew County, AR",33546
"cty37103","Jones County, NC",33504
"cty28079","Leake County, MS",33489
"cty29015","Benton County, MO",33476
"cty37065","Edgecombe County, NC",33466
"cty48133","Eastland County, TX",33458
"cty37185","Warren County, NC",33452
"cty05057","Hempstead County, AR",33445
"cty05011","Bradley County, AR",33433
"cty05075","Lawrence County, AR",33418
"cty01133","Winston County, AL",33415
"cty37173","Swain County, NC",33402
"cty47005","Benton County, TN",33387
"cty21001","Adair County, KY",33366
"cty21197","Powell County, KY",33337
"cty21169","Metcalfe County, KY",33335
"cty48101","Cottle County, TX",33330
"cty05101","Newton County, AR",33313
"cty29185","St. Clair County, MO",33259
"cty22127","Winn Parish, LA",33221
"cty05113","Polk County, AR",33185
"cty40127","Pushmataha County, OK",33144
"cty01023","Choctaw County, AL",33128
"cty13087","Decatur County, GA",33115
"cty47025","Claiborne County, TN",33105
"cty28129","Smith County, MS",33095
"cty22041","Franklin Parish, LA",33085
"cty22119","Webster Parish, LA",33060
"cty01109","Pike County, AL",33024
"cty13167","Johnson County, GA",33023
"cty13059","Clarke County, GA",33005
"cty21195","Pike County, KY",33004
"cty54059","Mingo County, WV",32986
"cty41069","Wheeler County, OR",32984
"cty21171","Monroe County, KY",32929
"cty08109","Saguache County, CO",32926
"cty29085","Hickory County, MO",32917
"cty21217","Taylor County, KY",32906
"cty48127","Dimmit County, TX",32900
"cty37181","Vance County, NC",32848
"cty37091","Hertford County, NC",32837
"cty13317","Wilkes County, GA",32763
"cty29155","Pemiscot County, MO",32747
"cty28123","Scott County, MS",32726
"cty01005","Barbour County, AL",32702
"cty37083","Halifax County, NC",32661
"cty35007","Colfax County, NM",32641
"cty05123","St. Francis County, AR",32626
"cty47097","Lauderdale County, TN",32602
"cty01025","Clarke County, AL",32579
"cty28113","Pike County, MS",32474
"cty72139","Trujillo Alto Municipio, PR",32452
"cty21175","Morgan County, KY",32415
"cty40001","Adair County, OK",32385
"cty35057","Torrance County, NM",32351
"cty37153","Richmond County, NC",32342
"cty29203","Shannon County, MO",32323
"cty54015","Clay County, WV",32275
"cty21057","Cumberland County, KY",32266
"cty21045","Casey County, KY",32183
"cty21235","Whitley County, KY",32098
"cty28159","Winston County, MS",32083
"cty01037","Coosa County, AL",32062
"cty13315","Wilcox County, GA",32049
"cty16033","Clark County, ID",32018
"cty29039","Cedar County, MO",32006
"cty35021","Harding County, NM",32000
"cty01107","Pickens County, AL",31944
"cty28019","Choctaw County, MS",31918
"cty45049","Hampton County, SC",31906
"cty39009","Athens County, OH",31895
"cty40023","Choctaw County, OK",31852
"cty08033","Dolores County, CO",31838
"cty47087","Jackson County, TN",31826
"cty45069","Marlboro County, SC",31816
"cty17153","Pulaski County, IL",31805
"cty47049","Fentress County, TN",31802
"cty21193","Perry County, KY",31797
"cty51051","Dickenson County, VA",31772
"cty37177","Tyrrell County, NC",31764
"cty21207","Russell County, KY",31762
"cty05021","Clay County, AR",31758
"cty37131","Northampton County, NC",31754
"cty48403","Sabine County, TX",31727
"cty45033","Dillon County, SC",31714
"cty05079","Lincoln County, AR",31664
"cty13107","Emanuel County, GA",31653
"cty47109","McNairy County, TN",31648
"cty28103","Noxubee County, MS",31591
"cty05103","Ouachita County, AR",31588
"cty13043","Candler County, GA",31540
"cty01087","Macon County, AL",31528
"cty72135","Toa Alta Municipio, PR",31518
"cty28125","Sharkey County, MS",31471
"cty37155","Robeson County, NC",31438
"cty05135","Sharp County, AR",31433
"cty22069","Natchitoches Parish, LA",31409
"cty22117","Washington Parish, LA",31368
"cty08025","Crowley County, CO",31324
"cty29133","Mississippi County, MO",31304
"cty17003","Alexander County, IL",31261
"cty47029","Cocke County, TN",31257
"cty22067","Morehouse Parish, LA",31224
"cty45067","Marion County, SC",31176
"cty54027","Hampshire County, WV",31166
"cty51077","Grayson County, VA",31163
"cty29067","Douglas County, MO",31129
"cty01091","Marengo County, AL",31116
"cty45061","Lee County, SC",31104
"cty37187","Washington County, NC",31075
"cty04001","Apache County, AZ",31072
"cty48131","Duval County, TX",31054
"cty28001","Adams County, MS",31026
"cty28031","Covington County, MS",31018
"cty46031","Corson County, SD",30987
"cty45009","Bamberg County, SC",30983
"cty48377","Presidio County, TX",30978
"cty13081","Crisp County, GA",30975
"cty28091","Marion County, MS",30974
"cty13289","Twiggs County, GA",30945
"cty01011","Bullock County, AL",30915
"cty46017","Buffalo County, SD",30903
"cty13003","Atkinson County, GA",30851
"cty47151","Scott County, TN",30813
"cty35011","De Baca County, NM",30808
"cty21071","Floyd County, KY",30799
"cty21109","Jackson County, KY",30789
"cty35051","Sierra County, NM",30778
"cty28013","Calhoun County, MS",30774
"cty29069","Dunklin County, MO",30771
"cty47091","Johnson County, TN",30764
"cty13173","Lanier County, GA",30745
"cty05095","Monroe County, AR",30737
"cty29153","Ozark County, MO",30733
"cty37015","Bertie County, NC",30678
"cty05067","Jackson County, AR",30671
"cty51105","Lee County, VA",30665
"cty28097","Montgomery County, MS",30636
"cty13017","Ben Hill County, GA",30595
"cty30035","Glacier County, MT",30581
"cty21201","Robertson County, KY",30578
"cty05017","Chicot County, AR",30509
"cty29143","New Madrid County, MO",30502
"cty51640","Galax city, VA",30428
"cty37017","Bladen County, NC",30418
"cty37165","Scotland County, NC",30376
"cty21119","Knott County, KY",30341
"cty13309","Wheeler County, GA",30336
"cty29149","Oregon County, MO",30321
"cty05137","Stone County, AR",30313
"cty28151","Washington County, MS",30299
"cty22021","Caldwell Parish, LA",30283
"cty29229","Wright County, MO",30238
"cty13243","Randolph County, GA",30213
"cty35031","McKinley County, NM",30212
"cty47135","Perry County, TN",30172
"cty48405","San Augustine County, TX",30153
"cty26085","Lake County, MI",30134
"cty28017","Chickasaw County, MS",30131
"cty54101","Webster County, WV",30089
"cty13205","Mitchell County, GA",30025
"cty35037","Quay County, NM",30014
"cty13273","Terrell County, GA",30006
"cty28147","Walthall County, MS",29918
"cty05147","Woodruff County, AR",29885
"cty28163","Yazoo County, MS",29785
"cty28135","Tallahatchie County, MS",29676
"cty28027","Coahoma County, MS",29568
"cty05073","Lafayette County, AR",29497
"cty13155","Irwin County, GA",29481
"cty01047","Dallas County, AL",29460
"cty13239","Quitman County, GA",29402
"cty21231","Wayne County, KY",29397
"cty46121","Todd County, SD",29389
"cty01099","Monroe County, AL",29378
"cty21065","Estill County, KY",29374
"cty01085","Lowndes County, AL",29294
"cty21135","Lewis County, KY",29251
"cty22029","Concordia Parish, LA",29195
