"cty","Name","Poverty_Rate_in_2012-16"
"cty21201","Robertson County, KY",0.244
"cty48323","Maverick County, TX",0.2439
"cty01025","Clarke County, AL",0.2438
"cty05019","Clark County, AR",0.2437
"cty13197","Marion County, GA",0.2434
"cty21099","Hart County, KY",0.2433
"cty37079","Greene County, NC",0.2433
"cty24039","Somerset County, MD",0.2431
"cty21011","Bath County, KY",0.243
"cty35053","Socorro County, NM",0.2427
"cty48145","Falls County, TX",0.2427
"cty37163","Sampson County, NC",0.2424
"cty13069","Coffee County, GA",0.2424
"cty26035","Clare County, MI",0.2423
"cty51121","Montgomery County, VA",0.2422
"cty29141","Morgan County, MO",0.2422
"cty41045","Malheur County, OR",0.2422
"cty39145","Scioto County, OH",0.2416
"cty21085","Grayson County, KY",0.2416
"cty47007","Bledsoe County, TN",0.2415
"cty48185","Grimes County, TX",0.2415
"cty22123","West Carroll Parish, LA",0.2414
"cty21165","Menifee County, KY",0.2412
"cty28067","Jones County, MS",0.2405
"cty45047","Greenwood County, SC",0.24
"cty35023","Hidalgo County, NM",0.2395
"cty01107","Pickens County, AL",0.2394
"cty47019","Carter County, TN",0.2393
"cty06025","Imperial County, CA",0.239
"cty21225","Union County, KY",0.2389
"cty05147","Woodruff County, AR",0.2387
"cty13199","Meriwether County, GA",0.2383
"cty28043","Grenada County, MS",0.2381
"cty51027","Buchanan County, VA",0.2381
"cty48109","Culberson County, TX",0.238
"cty18157","Tippecanoe County, IN",0.2378
"cty45023","Chester County, SC",0.2377
"cty01075","Lamar County, AL",0.2376
"cty26061","Houghton County, MI",0.2372
"cty02290","Yukon-Koyukuk Census Area, AK",0.2371
"cty37187","Washington County, NC",0.237
"cty40089","McCurtain County, OK",0.2367
"cty28139","Tippah County, MS",0.2366
"cty37185","Warren County, NC",0.2365
"cty29017","Bollinger County, MO",0.2365
"cty13315","Wilcox County, GA",0.2364
"cty16073","Owyhee County, ID",0.236
"cty47129","Morgan County, TN",0.2358
"cty28149","Warren County, MS",0.2357
"cty47173","Union County, TN",0.2357
"cty05075","Lawrence County, AR",0.2356
"cty53019","Ferry County, WA",0.2355
"cty22009","Avoyelles Parish, LA",0.2355
"cty29181","Ripley County, MO",0.2354
"cty48225","Houston County, TX",0.2354
"cty45075","Orangeburg County, SC",0.2351
"cty01123","Tallapoosa County, AL",0.2347
"cty05137","Stone County, AR",0.2345
"cty48127","Dimmit County, TX",0.2345
"cty29039","Cedar County, MO",0.2345
"cty06029","Kern County, CA",0.2344
"cty47049","Fentress County, TN",0.2341
"cty12041","Gilchrist County, FL",0.234
"cty22083","Richland Parish, LA",0.234
"cty54015","Clay County, WV",0.234
"cty45053","Jasper County, SC",0.2338
"cty21203","Rockcastle County, KY",0.2337
"cty28101","Newton County, MS",0.2336
"cty24510","Baltimore city, MD",0.2335
"cty47069","Hardeman County, TN",0.2335
"cty47183","Weakley County, TN",0.2327
"cty35061","Valencia County, NM",0.2326
"cty48471","Walker County, TX",0.2326
"cty48437","Swisher County, TX",0.2325
"cty28075","Lauderdale County, MS",0.2325
"cty37173","Swain County, NC",0.2324
"cty28117","Prentiss County, MS",0.2323
"cty37195","Wilson County, NC",0.2323
"cty13023","Bleckley County, GA",0.2323
"cty21001","Adair County, KY",0.2322
"cty35039","Rio Arriba County, NM",0.2321
"cty05049","Fulton County, AR",0.232
"cty48141","El Paso County, TX",0.2319
"cty54011","Cabell County, WV",0.2319
"cty47109","McNairy County, TN",0.2319
"cty08089","Otero County, CO",0.2318
"cty22017","Caddo Parish, LA",0.2316
"cty48419","Shelby County, TX",0.2313
"cty45031","Darlington County, SC",0.2312
"cty40133","Seminole County, OK",0.2311
"cty41003","Benton County, OR",0.2309
"cty21151","Madison County, KY",0.2307
"cty20161","Riley County, KS",0.2304
"cty21125","Laurel County, KY",0.2303
"cty48403","Sabine County, TX",0.2302
"cty21169","Metcalfe County, KY",0.2301
"cty16057","Latah County, ID",0.2301
"cty22059","LaSalle Parish, LA",0.2301
"cty39105","Meigs County, OH",0.23
"cty13255","Spalding County, GA",0.2299
"cty29223","Wayne County, MO",0.2297
"cty37047","Columbus County, NC",0.2295
"cty37093","Hoke County, NC",0.2293
"cty47143","Rhea County, TN",0.2292
"cty39079","Jackson County, OH",0.2292
"cty36047","Kings County, NY",0.2291
"cty40079","Le Flore County, OK",0.2288
"cty45021","Cherokee County, SC",0.2288
"cty35003","Catron County, NM",0.2287
"cty20209","Wyandotte County, KS",0.2286
"cty12073","Leon County, FL",0.2286
"cty51590","Danville city, VA",0.2282
"cty22081","Red River Parish, LA",0.2281
"cty13225","Peach County, GA",0.228
"cty01061","Geneva County, AL",0.2279
