"cty","Name","High_School_Graduation_Rate_rP_gP_pall"
"cty20193","Thomas County, KS",0.9125
"cty44009","Washington County, RI",0.9124
"cty18173","Warrick County, IN",0.9124
"cty27127","Redwood County, MN",0.9124
"cty17093","Kendall County, IL",0.9123
"cty24035","Queen Anne's County, MD",0.9123
"cty19057","Des Moines County, IA",0.9123
"cty55025","Dane County, WI",0.9122
"cty17147","Piatt County, IL",0.9122
"cty31061","Franklin County, NE",0.9121
"cty27037","Dakota County, MN",0.9119
"cty17035","Cumberland County, IL",0.9119
"cty49051","Wasatch County, UT",0.9118
"cty17203","Woodford County, IL",0.9118
"cty51071","Giles County, VA",0.9117
"cty20049","Elk County, KS",0.9116
"cty29041","Chariton County, MO",0.9116
"cty19005","Allamakee County, IA",0.9115
"cty42069","Lackawanna County, PA",0.9114
"cty36063","Niagara County, NY",0.9113
"cty31147","Richardson County, NE",0.9113
"cty36091","Saratoga County, NY",0.9113
"cty20105","Lincoln County, KS",0.9112
"cty51630","Fredericksburg city, VA",0.9111
"cty38055","McLean County, ND",0.911
"cty24005","Baltimore County, MD",0.911
"cty49011","Davis County, UT",0.9109
"cty34015","Gloucester County, NJ",0.9109
"cty53031","Jefferson County, WA",0.9107
"cty19091","Humboldt County, IA",0.9107
"cty49001","Beaver County, UT",0.9107
"cty55055","Jefferson County, WI",0.9106
"cty38029","Emmons County, ND",0.9106
"cty25001","Barnstable County, MA",0.9105
"cty25015","Hampshire County, MA",0.9105
"cty31097","Johnson County, NE",0.9105
"cty50011","Franklin County, VT",0.9104
"cty08023","Costilla County, CO",0.9104
"cty31033","Cheyenne County, NE",0.9104
"cty46135","Yankton County, SD",0.9104
"cty19157","Poweshiek County, IA",0.9104
"cty31089","Holt County, NE",0.9103
"cty39081","Jefferson County, OH",0.9101
"cty37055","Dare County, NC",0.9098
"cty20063","Gove County, KS",0.9097
"cty20117","Marshall County, KS",0.9097
"cty25027","Worcester County, MA",0.9096
"cty19165","Shelby County, IA",0.9096
"cty20071","Greeley County, KS",0.9096
"cty27017","Carlton County, MN",0.9095
"cty17109","McDonough County, IL",0.9095
"cty38101","Ward County, ND",0.9093
"cty21059","Daviess County, KY",0.9092
"cty06075","San Francisco County, CA",0.9091
"cty19049","Dallas County, IA",0.9091
"cty42059","Greene County, PA",0.9091
"cty34041","Warren County, NJ",0.909
"cty20191","Sumner County, KS",0.9089
"cty31027","Cedar County, NE",0.9089
"cty49005","Cache County, UT",0.9088
"cty42051","Fayette County, PA",0.9088
"cty39175","Wyandot County, OH",0.9088
"cty26063","Huron County, MI",0.9088
"cty51520","Bristol city, VA",0.9088
"cty26125","Oakland County, MI",0.9087
"cty19195","Worth County, IA",0.9086
"cty23021","Piscataquis County, ME",0.9085
"cty42013","Blair County, PA",0.9084
"cty38095","Towner County, ND",0.9084
"cty19197","Wright County, IA",0.9084
"cty17073","Henry County, IL",0.9084
"cty05019","Clark County, AR",0.9084
"cty06003","Alpine County, CA",0.9082
"cty42063","Indiana County, PA",0.9081
"cty19167","Sioux County, IA",0.908
"cty42057","Fulton County, PA",0.908
"cty29001","Adair County, MO",0.9079
"cty09009","New Haven County, CT",0.9078
"cty08093","Park County, CO",0.9078
"cty17113","McLean County, IL",0.9078
"cty34029","Ocean County, NJ",0.9077
"cty48259","Kendall County, TX",0.9077
"cty53013","Columbia County, WA",0.9077
"cty55051","Iron County, WI",0.9077
"cty16019","Bonneville County, ID",0.9074
"cty39067","Harrison County, OH",0.9074
"cty31085","Hayes County, NE",0.9074
"cty39103","Medina County, OH",0.9074
"cty46125","Turner County, SD",0.9073
"cty48359","Oldham County, TX",0.9071
"cty27165","Watonwan County, MN",0.9071
"cty51720","Norton city, VA",0.9071
"cty48381","Randall County, TX",0.9068
"cty51041","Chesterfield County, VA",0.9068
"cty19065","Fayette County, IA",0.9068
"cty36109","Tompkins County, NY",0.9068
"cty17019","Champaign County, IL",0.9067
"cty20031","Coffey County, KS",0.9067
"cty42077","Lehigh County, PA",0.9066
"cty16069","Nez Perce County, ID",0.9065
"cty26047","Emmet County, MI",0.9065
"cty20149","Pottawatomie County, KS",0.9065
"cty51173","Smyth County, VA",0.9064
"cty46037","Day County, SD",0.9063
"cty29183","St. Charles County, MO",0.9062
"cty46043","Douglas County, SD",0.9062
"cty55003","Ashland County, WI",0.9061
"cty53043","Lincoln County, WA",0.9061
"cty17129","Menard County, IL",0.906
"cty19015","Boone County, IA",0.906
"cty38089","Stark County, ND",0.906
"cty18059","Hancock County, IN",0.906
"cty34021","Mercer County, NJ",0.906
"cty19163","Scott County, IA",0.9058
"cty36033","Franklin County, NY",0.9058
"cty09003","Hartford County, CT",0.9058
